NO,CompdKey,SMILES,Class,Type,Relation,Value,Unit,Source,Remark
1,4,Cc1cc(-c2ccc3nc(NC(=O)c4cccs4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,470,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
2,9,COc1ccccc1Nc1nc2ccc(-c3cc(C)c(O)c(C)c3)cn2n1,TTK,enzymatic IC50,equal to,26,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
3,11,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
4,11,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,TTK,enzymatic IC50,approximate,2,nM,CHEMBL4619753,"HTRF-based MPS1 assay, high ATP (2 mM)"
5,12,Cc1cc(-c2ccc3nc(NC(=O)c4ccc(=O)oc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,2300,nM,CHEMBL4619753,"HTRF-based MPS1 assay, high ATP (2 mM)"
6,12,Cc1cc(-c2ccc3nc(NC(=O)c4ccc(=O)oc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,270,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
7,13,Cc1cc(-c2ccc3nc(NC(=O)c4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,1230,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
8,14,Cc1cc(-c2ccc3nc(NC(=O)NCc4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,6200,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
9,15,Cc1cc(-c2ccc3nc(NC(C)c4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,520,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
10,16,Cc1cc(-c2ccc3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,825,nM,CHEMBL4619753,"HTRF-based MPS1 assay, high ATP (2 mM)"
