NO,Name,CompdKey,SMILES,Class,Type,Relation,Value,Unit,Source,Remark
1,TTK_0001,4,Cc1cc(-c2ccc3nc(NC(=O)c4cccs4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,470,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
2,TTK_0002,9,COc1ccccc1Nc1nc2ccc(-c3cc(C)c(O)c(C)c3)cn2n1,TTK,enzymatic IC50,equal to,26,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
3,TTK_0003,11,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
6,TTK_0004,12,Cc1cc(-c2ccc3nc(NC(=O)c4ccc(=O)oc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,270,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
7,TTK_0005,13,Cc1cc(-c2ccc3nc(NC(=O)c4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,1230,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
8,TTK_0006,14,Cc1cc(-c2ccc3nc(NC(=O)NCc4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,6200,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
9,TTK_0007,15,Cc1cc(-c2ccc3nc(NC(C)c4ccccc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,520,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
11,TTK_0008,16,Cc1cc(-c2ccc3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,14,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
12,TTK_0009,17,Cc1cc(-c2ccc3nc(Nc4ccc(S(C)(=O)=O)cc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,65,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
14,TTK_0010,18,Cc1cc(-c2ccc3nc(Nc4ccc(C#N)cc4)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,390,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
16,TTK_0011,19,Cc1cc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,7,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
19,TTK_0012,20,CNS(=O)(=O)c1cccc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)c1,TTK,enzymatic IC50,equal to,97,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
21,TTK_0013,21,CCNC(=O)c1cccc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)c1,TTK,enzymatic IC50,equal to,150,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
22,TTK_0014,22,CC(=O)Nc1cccc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)c1,TTK,enzymatic IC50,equal to,130,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
24,TTK_0015,23,CC(C)(C)OC(=O)Nc1ccc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc1,TTK,enzymatic IC50,equal to,78,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
27,TTK_0016,24,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC4CC4)cc3)cn2n1,TTK,enzymatic IC50,equal to,6.3,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
28,TTK_0017,25,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC(F)(F)F)cc3)cn2n1,TTK,enzymatic IC50,equal to,4.6,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
30,TTK_0018,26,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CCC4CC4)cc3)cn2n1,TTK,enzymatic IC50,equal to,3.9,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
32,TTK_0019,27,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
34,TTK_0020,28,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
51,TTK_0021,45,Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,2580,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
54,TTK_0022,46,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nccn23)cc1,TTK,enzymatic IC50,equal to,17,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
55,TTK_0023,47,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4ccccc4)nccn23)cc1,TTK,enzymatic IC50,equal to,25,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
57,TTK_0024,48,O=C(NC1CC1)c1ccc(-c2cnc3c(Nc4ccccc4)nccn23)cc1,TTK,enzymatic IC50,equal to,684,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
60,TTK_0025,49,CC(C)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,40,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
61,TTK_0026,50,CC(C)CC(=O)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,3600,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
64,TTK_0027,51,CC(C)NC(=O)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,5600,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
65,TTK_0028,52,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCO)nccn23)cc1,TTK,enzymatic IC50,equal to,899,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
67,TTK_0029,53,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCC(F)(F)F)nccn23)cc1,TTK,enzymatic IC50,equal to,5,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
69,TTK_0030,54,CNC(=O)Nc1ccc(-c2cnc3c(NCC(C)C)nccn23)cc1,TTK,enzymatic IC50,equal to,180,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
71,TTK_0031,55,CC(C)CNc1nccn2c(-c3ccc4c(N)n[nH]c4c3)cnc12,TTK,enzymatic IC50,equal to,3,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
73,TTK_0032,56,CC(C)CNc1nccn2c(-c3ccc4c(N)nccc4c3)cnc12,TTK,enzymatic IC50,equal to,22,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
75,TTK_0033,57,Cc1cc(-c2cnc3c(NCC(C)C)nccn23)ccc1C(=O)NC1CC1,TTK,enzymatic IC50,equal to,11,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
77,TTK_0034,58,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nccn23)ccc1C(=O)NC1CC1,TTK,enzymatic IC50,equal to,13,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
80,TTK_0035,59,CC(C)CNc1ncc(Br)n2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,11,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
82,TTK_0036,60,CC(C)CNc1ncc(-c2ccccc2)n2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,20,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
83,TTK_0037,61,CC(C)CNc1nc(Br)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,26,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
85,TTK_0038,62,CC(C)CNc1nc(-c2ccccc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,2,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
88,TTK_0039,63,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(C#N)cn23)ccc1C(=O)NC1CC1,TTK,enzymatic IC50,equal to,7,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)"
