NO,Name,CompdKey,SMILES,Class,Type,Relation,Value,Unit,Source,Remark,Aromatic_SMILES,Kekulized_SMILES,InChiKey,Duplicate,Unique_Value,Unique_Remark,target_binary,Cluster
3,TTK_0003,11,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4=CC=C(F)C=C4)C=C3)C=CC2=N1,QMCXPLCODOYMLR-UHFFFAOYSA-N,Unique,1,Unique,1,24
91,TTK_0041,65,Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(Cc4ccccc4)cn23)ccc1C(=O)NC1CC1,TTK,enzymatic IC50,equal to,0.2,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)",Cc1cc(-c2cnc3c(NCCC(F)(F)F)nc(Cc4ccccc4)cn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NCCC(F)(F)F)=NC(CC4=CC=CC=C4)=CN23)=CC=C1C(=O)NC1CC1,YDDPDNMLOPPAFX-UHFFFAOYSA-N,"[Name = TTK_0514, Relation = equal to, Value = 0.2]",0.2,same,1,29
122,TTK_0056,85,Cc1cc(-c2cnc3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nn23)ccc1C(=O)NC1CC1,TTK,enzymatic IC50,equal to,0.5,nM,CHEMBL4619753,"HTRF-based MPS1 assay, low ATP (10 uM)",Cc1cc(-c2cnc3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nn23)ccc1C(=O)NC1CC1,CC1=CC(C2=CN=C3C(NC[C@H]4C[C@@](C)(O)C4)=CC(OC4=CC=CN=C4)=NN23)=CC=C1C(=O)NC1CC1,AXVZWOFOVVORCS-CHOKWEPUSA-N,Unique,0.5,Unique,1,11
130,TTK_0061,7a,N1=CC2C=C(C3C=NN(C)C=3)N(C(=O)OC(C)(C)C)C=2C=C1NC1C=CC(=CC=1Cl)C1=CN=CN1C,TTK,enzymatic IC50,equal to,3,nM,CHEMBL4346725,,Cn1cc(-c2cc3cnc(Nc4ccc(-c5cncn5C)cc4Cl)cc3n2C(=O)OC(C)(C)C)cn1,CN1C=C(C2=CC3=C(C=C(NC4=CC=C(C5=CN=CN5C)C=C4Cl)N=C3)N2C(=O)OC(C)(C)C)C=N1,BXKNUXDLZJPPBO-UHFFFAOYSA-N,"[Name = TTK_0064, Relation = equal to, Value = 3]",3,same,1,41
137,TTK_0067,32,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,TTK,enzymatic IC50,equal to,2.5,nM,CHEMBL4346725,,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,N#CC1=CC=C(C2=NN3C(C4=CC=C(C(=O)NC5CC5)C=C4)=CN=C3C(NCC3CCOCC3)=C2)C(N)=C1,WLCKQTMAURNBGU-UHFFFAOYSA-N,"[Name = TTK_0323, Relation = equal to, Value = 2.5]",2.5,same,1,10
140,TTK_0069,36a,N(CC(C)C)C1C2=NC=C(C3C=CC(C(NC4CC4)=O)=CC=3)N2C=C(C2=CC=CC3=C2C=CC=N3)N=1,TTK,enzymatic IC50,equal to,1,nM,CHEMBL4346725,,CC(C)CNc1nc(-c2cccc3ncccc23)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=NC(C2=CC=CC3=C2C=CC=N3)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,MDYKTGNHXNTATG-UHFFFAOYSA-N,"[Name = TTK_0225, Relation = equal to, Value = 1], [Name = TTK_0307, Relation = equal to, Value = 1], [Name = TTK_0817, Relation = equal to, Value = 1]",1,same,1,33
168,TTK_0097,9,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCC(O)CC2)c2nc[nH]c2n1,TTK,enzymatic IC50,equal to,1,nM,CHEMBL2046298,,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCC(O)CC2)c2nc[nH]c2n1,CC1=CC(N2CCOCC2)=CC=C1NC1=NC(NC2CCC(O)CC2)=C2N=CNC2=N1,SWEKBQYCIDGILM-UHFFFAOYSA-N,Unique,1,Unique,1,16
235,TTK_0164,22,CCc1cccc(CC)c1N1CCn2cc(-c3nc(Nc4ccc(N5CCC(O)(CN6CCN(C)CC6)CC5)cc4OC)nc4[nH]ccc34)cc2C1=O,TTK,enzymatic IC50,equal to,2.8,nM,CHEMBL5036336,,CCc1cccc(CC)c1N1CCn2cc(-c3nc(Nc4ccc(N5CCC(O)(CN6CCN(C)CC6)CC5)cc4OC)nc4[nH]ccc34)cc2C1=O,CCC1=CC=CC(CC)=C1N1CCN2C=C(C3=NC(NC4=CC=C(N5CCC(O)(CN6CCN(C)CC6)CC5)C=C4OC)=NC4=C3C=CN4)C=C2C1=O,DRIUUBBENLKJQC-UHFFFAOYSA-N,Unique,2.8,Unique,1,20
239,TTK_0168,NTRC 0066-0,CCc1cccc(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,TTK,enzymatic IC50,equal to,0.9,nM,CHEMBL5036336,,CCc1cccc(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,CCC1=CC=CC(CC)=C1NC(=O)C1=C2CCC3=CN=C(NC4=CC=C(N5CCN(C)CC5)C=C4OC)N=C3N2C=C1,HGEIUFJVGHMGRR-UHFFFAOYSA-N,Unique,0.9,Unique,1,46
272,TTK_0201,9,COc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CC[C@](C)(O)CC2)c2cc[nH]c2n1,TTK,enzymatic IC50,equal to,0.6,nM,CHEMBL4346709,,COc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CC[C@](C)(O)CC2)c2cc[nH]c2n1,COC1=CC(C(=O)N(C)C)=CC=C1NC1=NC(O[C@H]2CC[C@](C)(O)CC2)=C2C=CNC2=N1,HYVCWCBCAQETLO-CWSKOGRWSA-N,Unique,0.6,Unique,1,3
