SMILES,Name
Cc1cc(cc(c1OC)C(=O)NC(=S)Nc2cccc(c2)NC(=O)c3cccs3)Br,Decoys_0001
c1ccc(cc1)[C@H](C(=O)NCC2(CCCC2)c3ccccc3)NS(=O)(=O)c4ccc5c(c4)CCC(=O)N5,Decoys_0002
c1ccc(cc1)C[C@H](C(=O)NCc2ccccc2Cl)NS(=O)(=O)c3ccc4c(c3)CCC(=O)N4,Decoys_0003
c1ccc(cc1)C[C@H](C(=O)NCCc2ccc(cc2)Cl)NS(=O)(=O)c3ccc4c(c3)CCC(=O)N4,Decoys_0004
Cc1cccc(c1)c2nnc(n2Cc3ccco3)SCC(=O)Nc4c(c5c(s4)CCC5)C(=O)N,Decoys_0005
CCOC(=O)[C@@H]1C([C@H]([C@@](N[C@@]1(C(F)(F)F)O)(C(F)(F)F)O)C(=O)OCC)c2cccc(c2)Cl,Decoys_0006
Cc1ccc(c(c1)Br)OCC(=O)NNC(=S)NC(=O)c2c(c3ccccc3s2)Cl,Decoys_0007
Cc1cccc(c1)OCC(=O)NNC(=S)NC(=O)COc2ccc3ccccc3c2Br,Decoys_0008
CCCC(=O)NC(=S)NNC(=O)COc1ccc2cc(ccc2c1Br)Br,Decoys_0009
c1ccc2c(c1)cccc2OCC(=O)NC(=S)NNC(=O)c3ccccc3I,Decoys_0010
Cc1ccc(c(c1)Br)OCC(=O)NNC(=S)NC(=O)COc2cccc3c2cccc3,Decoys_0011
CC[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1Cc2c3ccccc3[nH]c2[C@@H]4N1C(=O)c5c4cccc5,Decoys_0012
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)C(C)C,Decoys_0013
CCOc1ccc(cc1)/C=C/C(=O)NC(=S)NNC(=O)COc2ccc(cc2Br)Cl,Decoys_0014
Cc1ccc(c(c1)C)OCc2nnc(n2C)SCC(=O)Nc3c(c4c(s3)C[C@H](CC4)C)C(=O)N,Decoys_0015
COCCCN(c1c(n(c(=O)[nH]c1=O)Cc2ccccc2)N)C(=O)c3c(c4ccccc4s3)Cl,Decoys_0016
Cc1ccc(c(c1)C)OCC(=O)NNC(=S)NC(=O)c2ccc(c(c2)Br)OC(C)C,Decoys_0017
c1ccc(c(c1)C(F)(F)F)NC(=O)CCCCCN2C(=O)/C(=C/c3ccc(cc3O)O)/SC2=S,Decoys_0018
CSCC[C@H](C(=O)NC[C@@H](c1ccccc1Cl)c2c[nH]c3c2cccc3)NC(=O)c4ccco4,Decoys_0019
CSCC[C@@H](C(=O)NC[C@H](c1ccccc1Cl)c2c[nH]c3c2cccc3)NC(=O)c4ccco4,Decoys_0020
C/C(=N/Nc1[nH]nc(n1)SCC(=O)Nc2cccc3c2cccc3)/c4ccc(cc4)Br,Decoys_0021
CCCN(CCC)S(=O)(=O)c1ccc2c(c1)c(c[nH]2)/C=N/NC(=S)Nc3c(cc(cc3C)C)C,Decoys_0022
C/C(=N\Nc1nnc(n1N)SCC(=O)C2C3CC4CC(C3)CC2C4)/c5ccc(cc5)Br,Decoys_0023
