SMILES,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey
Cc1cc(cc(c1OC)C(=O)NC(=S)Nc2cccc(c2)NC(=O)c3cccs3)Br,Decoys_0001,COc1c(C)cc(Br)cc1C(=O)NC(=S)Nc1cccc(NC(=O)c2cccs2)c1,COC1=C(C(=O)NC(=S)NC2=CC=CC(NC(=O)C3=CC=CS3)=C2)C=C(Br)C=C1C,MUTDOIOUTRWMMH-UHFFFAOYSA-N
c1ccc(cc1)[C@H](C(=O)NCC2(CCCC2)c3ccccc3)NS(=O)(=O)c4ccc5c(c4)CCC(=O)N5,Decoys_0002,O=C1CCc2cc(S(=O)(=O)N[C@@H](C(=O)NCC3(c4ccccc4)CCCC3)c3ccccc3)ccc2N1,O=C1CCC2=CC(S(=O)(=O)N[C@@H](C(=O)NCC3(C4=CC=CC=C4)CCCC3)C3=CC=CC=C3)=CC=C2N1,OTHNRXQCBXBAFU-HHHXNRCGSA-N
c1ccc(cc1)C[C@H](C(=O)NCc2ccccc2Cl)NS(=O)(=O)c3ccc4c(c3)CCC(=O)N4,Decoys_0003,O=C1CCc2cc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)NCc3ccccc3Cl)ccc2N1,O=C1CCC2=CC(S(=O)(=O)N[C@H](CC3=CC=CC=C3)C(=O)NCC3=CC=CC=C3Cl)=CC=C2N1,FFWKBEVWMWCIRB-HSZRJFAPSA-N
c1ccc(cc1)C[C@H](C(=O)NCCc2ccc(cc2)Cl)NS(=O)(=O)c3ccc4c(c3)CCC(=O)N4,Decoys_0004,O=C1CCc2cc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)NCCc3ccc(Cl)cc3)ccc2N1,O=C1CCC2=CC(S(=O)(=O)N[C@H](CC3=CC=CC=C3)C(=O)NCCC3=CC=C(Cl)C=C3)=CC=C2N1,PERBRGGJIYCNND-XMMPIXPASA-N
Cc1cccc(c1)c2nnc(n2Cc3ccco3)SCC(=O)Nc4c(c5c(s4)CCC5)C(=O)N,Decoys_0005,Cc1cccc(-c2nnc(SCC(=O)Nc3sc4c(c3C(N)=O)CCC4)n2Cc2ccco2)c1,CC1=CC=CC(C2=NN=C(SCC(=O)NC3=C(C(N)=O)C4=C(CCC4)S3)N2CC2=CC=CO2)=C1,FEUWFKZBGLZIKM-UHFFFAOYSA-N
CCOC(=O)[C@@H]1C([C@H]([C@@](N[C@@]1(C(F)(F)F)O)(C(F)(F)F)O)C(=O)OCC)c2cccc(c2)Cl,Decoys_0006,CCOC(=O)[C@@H]1C(c2cccc(Cl)c2)[C@@H](C(=O)OCC)[C@@](O)(C(F)(F)F)N[C@@]1(O)C(F)(F)F,CCOC(=O)[C@@H]1C(C2=CC=CC(Cl)=C2)[C@@H](C(=O)OCC)[C@@](O)(C(F)(F)F)N[C@@]1(O)C(F)(F)F,LPHVCEOTBIKRRI-NKPGLDSYSA-N
Cc1ccc(c(c1)Br)OCC(=O)NNC(=S)NC(=O)c2c(c3ccccc3s2)Cl,Decoys_0007,Cc1ccc(OCC(=O)NNC(=S)NC(=O)c2sc3ccccc3c2Cl)c(Br)c1,CC1=CC=C(OCC(=O)NNC(=S)NC(=O)C2=C(Cl)C3=CC=CC=C3S2)C(Br)=C1,NTGDOINTHONWLI-UHFFFAOYSA-N
Cc1cccc(c1)OCC(=O)NNC(=S)NC(=O)COc2ccc3ccccc3c2Br,Decoys_0008,Cc1cccc(OCC(=O)NNC(=S)NC(=O)COc2ccc3ccccc3c2Br)c1,CC1=CC=CC(OCC(=O)NNC(=S)NC(=O)COC2=CC=C3C=CC=CC3=C2Br)=C1,XRINWKPFKNBZON-UHFFFAOYSA-N
CCCC(=O)NC(=S)NNC(=O)COc1ccc2cc(ccc2c1Br)Br,Decoys_0009,CCCC(=O)NC(=S)NNC(=O)COc1ccc2cc(Br)ccc2c1Br,CCCC(=O)NC(=S)NNC(=O)COC1=CC=C2C=C(Br)C=CC2=C1Br,UNFYCKLQGLMUTN-UHFFFAOYSA-N
c1ccc2c(c1)cccc2OCC(=O)NC(=S)NNC(=O)c3ccccc3I,Decoys_0010,O=C(COc1cccc2ccccc12)NC(=S)NNC(=O)c1ccccc1I,O=C(COC1=CC=CC2=CC=CC=C21)NC(=S)NNC(=O)C1=CC=CC=C1I,GZWYLYQLUJWXIK-UHFFFAOYSA-N
