NO,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey,target_binary
1,TTK_0003,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4=CC=C(F)C=C4)C=C3)C=CC2=N1,QMCXPLCODOYMLR-UHFFFAOYSA-N,1
2,TTK_0011,Cc1cc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc(C)c1O,CC1=CC(C2=CN3N=C(NC4=CC=CC=C4C#N)N=C3C=C2)=CC(C)=C1O,RMKFZDUUJFWPFL-UHFFFAOYSA-N,1
3,TTK_0016,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC4CC4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4CC4)C=C3)C=CC2=N1,CWIKMYBEUQCXTD-UHFFFAOYSA-N,1
4,TTK_0017,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC(F)(F)F)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC(F)(F)F)C=C3)C=CC2=N1,TUDKYWCYWGTBJX-UHFFFAOYSA-N,1
5,TTK_0018,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CCC4CC4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CCC4CC4)C=C3)C=CC2=N1,VEQPVTZSIODMFF-UHFFFAOYSA-N,1
6,TTK_0019,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4=CC=CC=C4)C=C3)C=CC2=N1,RPGJGJRXGBZPLW-UHFFFAOYSA-N,1
7,TTK_0020,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(C(=O)NCC4=CC=CC=C4)C=C3)C=CC2=N1,BDWHDYCIHXZNJP-UHFFFAOYSA-N,1
8,TTK_0029,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCC(F)(F)F)nccn23)cc1,O=C(NC1CC1)C1=CC=C(C2=CN=C3C(NCCC(F)(F)F)=NC=CN23)C=C1,ONMCQVFQANHXPX-UHFFFAOYSA-N,1
9,TTK_0031,CC(C)CNc1nccn2c(-c3ccc4c(N)n[nH]c4c3)cnc12,CC(C)CNC1=NC=CN2C(C3=CC=C4C(=C3)NN=C4N)=CN=C12,BPNDSYLVPOJLDG-UHFFFAOYSA-N,1
10,TTK_0038,CC(C)CNc1nc(-c2ccccc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=NC(C2=CC=CC=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,QGCHHJBTBVGDDZ-UHFFFAOYSA-N,1
