Start duplicate:

  process 100 / 3097, unique 100, repeat 0, time 0m 0s, ...
  process 200 / 3097, unique 200, repeat 0, time 0m 0s, ...
  process 300 / 3097, unique 300, repeat 0, time 0m 0s, ...
  process 400 / 3097, unique 400, repeat 0, time 0m 0s, ...
  process 500 / 3097, unique 500, repeat 0, time 0m 0s, ...
  process 600 / 3097, unique 600, repeat 0, time 0m 0s, ...
  process 700 / 3097, unique 699, repeat 1, time 0m 0s, ...
  process 800 / 3097, unique 799, repeat 1, time 0m 0s, ...
  process 900 / 3097, unique 898, repeat 2, time 0m 0s, ...
  process 1000 / 3097, unique 998, repeat 2, time 0m 0s, ...
  process 1100 / 3097, unique 1098, repeat 2, time 0m 0s, ...
  process 1200 / 3097, unique 1198, repeat 2, time 0m 0s, ...
  process 1300 / 3097, unique 1298, repeat 2, time 0m 0s, ...
  process 1400 / 3097, unique 1398, repeat 2, time 0m 0s, ...
  process 1500 / 3097, unique 1498, repeat 2, time 0m 0s, ...
  process 1600 / 3097, unique 1598, repeat 2, time 0m 0s, ...
  process 1700 / 3097, unique 1698, repeat 2, time 0m 0s, ...
  process 1800 / 3097, unique 1797, repeat 3, time 0m 0s, ...
  process 1900 / 3097, unique 1897, repeat 3, time 0m 0s, ...
  process 2000 / 3097, unique 1997, repeat 3, time 0m 0s, ...
  process 2100 / 3097, unique 2097, repeat 3, time 0m 0s, ...
  process 2200 / 3097, unique 2196, repeat 4, time 0m 0s, ...
  process 2300 / 3097, unique 2296, repeat 4, time 0m 0s, ...
  process 2400 / 3097, unique 2396, repeat 4, time 0m 0s, ...
  process 2500 / 3097, unique 2496, repeat 4, time 0m 0s, ...
  process 2600 / 3097, unique 2595, repeat 5, time 0m 0s, ...
  process 2700 / 3097, unique 2695, repeat 5, time 0m 0s, ...
  process 2800 / 3097, unique 2795, repeat 5, time 0m 0s, ...
  process 2900 / 3097, unique 2895, repeat 5, time 0m 0s, ...
  process 3000 / 3097, unique 2994, repeat 6, time 0m 0s, ...
  process 3097 / 3097, unique 3091, repeat 6, time 0m 0s, done.

Unique file was saved at: decoys_unique.csv
Done. Time 0m 0s
