   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.690        0.419
         2                   0.595        0.243
         3                   0.583        0.246
         4                   0.565        0.209
         5                   0.556        0.246
         6                   0.581        0.330
         7                   0.586        0.365
         8                   0.570        0.315
         9                   0.603        0.356
        10                   0.653        0.451
        11                   0.725        0.500
        12                   0.913        0.435
        13                   1.346        0.998
        14                   1.214        0.629
        15                   2.106        1.631
        16                   1.502        1.101
        17                   1.337        1.057
        18                   0.634        0.356
        19                   0.627        0.311
        20                   0.695        0.353
        21                   0.692        0.273
        22                   1.414        1.247
        23                   1.484        1.290
        24                   0.884        0.491
        25                   1.377        1.195
        26                   1.318        1.147
        27                   0.597        0.279
        28                   0.562        0.260
        29                   0.620        0.280
        30                   0.639        0.269
        31                   0.600        0.196
        32                   0.635        0.244
        33                   0.720        0.387
        34                   0.646        0.282
        35                   0.690        0.365
        36                   0.810        0.516
        37                   0.774        0.488
