  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.631            0      474.825       59.119      150.301
        1        0.768        5.559            0      473.313       57.530      148.374
        2        1.018        5.525            0      469.823       55.869      148.463
        3        0.850        5.565            0      468.799       41.802      146.968
        4        0.851        5.560            0      470.268       56.366      152.372
        5        0.934        5.434            0      465.938       43.483      146.272
        6        1.181        5.414            0      468.296       64.207      151.774
        7        1.208        5.422            0      469.201       69.864      154.367
        8        1.219        5.463            0      469.932       55.154      157.200
        9        1.204        5.381            0      464.795       58.204      153.815
       10        1.204        5.468            0      468.935       66.057      152.805
       11        1.142        5.402            0      470.791       53.514      151.818
       12        1.298        5.415            0      468.963       55.784      150.002
       13        0.968        5.520            0      470.123       73.725      146.961
       14        1.392        5.312            0      464.567       61.151      157.032
       15        1.439        5.363            0      465.664       43.738      158.177
       16        1.269        5.440            0      465.229       68.825      151.589
       17        1.251        5.375            0      468.871       65.893      155.882
       18        1.249        5.352            0      469.716       66.156      155.440
       19        1.253        5.384            0      470.732       57.929      157.543
       20        1.092        5.461            0      471.454       71.038      158.028
       21        1.367        5.294            0      462.506       63.215      161.878
       22        1.240        5.360            0      469.328       63.073      151.831
       23        1.101        5.437            0      467.927       71.860      148.854
       24        1.220        5.305            0      460.714       68.128      150.634
       25        1.233        5.285            0      461.615       64.605      149.758
       26        1.264        5.375            0      467.404       64.920      153.831
       27        1.288        5.322            0      464.311       55.899      150.354
       28        1.337        5.286            0      460.744       55.904      153.367
       29        0.947        5.534            0      476.430       75.948      151.902
       30        1.056        5.593            0      470.097      106.594      148.817
       31        0.954        5.550            0      471.977       71.997      155.637
       32        0.933        5.522            0      466.771       76.438      153.516
       33        1.031        5.452            0      464.011       99.984      143.484
       34        1.080        5.495            0      468.670       65.379      149.109
       35        1.037        5.436            0      472.322       53.033      156.513
       36        0.935        5.427            0      467.993       64.749      153.335
       37        0.950        5.487            0      466.792       84.394      152.267
       38        0.946        5.597            0      475.649       82.065      148.325
       39        1.071        5.511            0      466.193       94.001      151.823
       40        0.921        5.401            0      467.710       96.455      151.079
       41        0.942        5.532            0      468.830       83.519      148.738
       42        1.001        5.567            0      470.796       74.919      152.904
       43        0.978        5.490            0      469.487       76.605      145.984
       44        0.980        5.528            0      472.485       67.184      151.207
       45        0.989        5.519            0      474.107       73.547      150.448
       46        1.009        5.567            0      470.376       87.095      146.409
       47        1.008        5.541            0      469.905       82.497      147.305
       48        0.925        5.595            0      473.672       67.537      147.416
       49        0.970        5.499            0      472.247       66.614      150.389
       50        0.955        5.480            0      467.293       65.306      146.683
       51        0.916        5.569            0      470.879       73.355      145.453
       52        0.975        5.576            0      465.305       81.361      141.362
       53        0.941        5.480            0      471.007       67.117      152.593
       54        0.965        5.637            0      474.763       92.916      152.323
       55        0.935        5.500            0      474.292       88.226      153.757
       56        0.957        5.483            0      467.692       70.220      148.597
       57        1.014        5.448            0      466.868       76.071      144.710
       58        0.986        5.498            0      465.643       77.225      138.209
       59        1.043        5.515            0      472.666       80.736      149.276
       60        0.964        5.568            0      468.717       66.912      144.947
       61        0.997        5.615            0      472.896       71.658      148.890
       62        1.013        5.564            0      470.128       74.724      147.445
       63        0.944        5.513            0      471.483       74.285      151.518
       64        1.027        5.426            0      464.704       74.569      141.415
       65        0.975        5.491            0      470.799       63.223      148.054
       66        1.030        5.503            0      470.919       65.648      145.737
       67        0.958        5.546            0      470.635       79.282      148.316
       68        1.048        5.474            0      465.329       84.131      149.357
       69        0.980        5.568            0      469.495       57.837      151.374
       70        1.056        5.476            0      466.485       67.586      147.886
       71        0.970        5.428            0      469.540       54.939      145.287
       72        1.036        5.442            0      466.696       69.754      144.168
       73        1.001        5.595            0      472.356       71.757      149.183
       74        1.017        5.544            0      468.201       65.501      152.623
       75        1.011        5.479            0      467.608       58.856      140.963
       76        0.942        5.491            0      463.540       53.332      148.147
       77        0.983        5.448            0      464.667       83.688      150.627
       78        0.952        5.475            0      466.792       66.458      150.331
       79        0.950        5.590            0      470.524       72.981      140.025
       80        0.929        5.485            0      468.920       74.635      149.793
       81        1.033        5.604            0      477.076       84.357      155.364
       82        1.109        5.447            0      468.124       75.138      159.376
       83        0.995        5.458            0      468.568       81.051      161.051
       84        1.061        5.480            0      466.900       81.815      152.315
       85        0.952        5.506            0      467.859       60.694      154.447
       86        0.969        5.480            0      468.830       76.930      152.793
       87        0.960        5.446            0      469.698       54.235      137.872
       88        0.959        5.563            0      466.918       80.622      149.217
       89        0.946        5.610            0      468.498       72.401      143.210
       90        0.939        5.447            0      465.566       61.080      140.472
       91        0.999        5.512            0      467.553       90.021      146.471
       92        0.976        5.494            0      466.688       61.732      152.610
       93        0.955        5.453            0      464.219       74.816      148.182
       94        0.975        5.434            0      463.055       69.195      142.254
       95        1.016        5.577            0      471.250       75.027      154.007
       96        0.969        5.500            0      468.463       80.465      150.872
       97        1.050        5.549            0      466.828       67.699      143.192
       98        0.963        5.546            0      470.868       68.500      149.871
       99        0.968        5.629            0      470.193       75.241      145.371
      100        1.037        5.567            0      468.588       76.849      149.226
      101        0.955        5.508            0      468.405       74.136      151.206
      102        0.964        5.539            0      467.050       70.207      148.126
      103        1.024        5.394            0      463.405       52.093      144.587
      104        0.963        5.467            0      466.909       78.690      154.886
      105        0.951        5.469            0      465.336       77.570      145.381
      106        0.968        5.581            0      476.772       88.291      155.589
      107        0.971        5.548            0      468.608       73.234      147.184
      108        0.991        5.463            0      465.628       61.226      152.402
      109        0.930        5.481            0      467.848       67.054      151.138
      110        0.966        5.434            0      462.075       69.422      143.307
      111        1.003        5.423            0      465.665       65.170      156.084
      112        0.942        5.495            0      469.305       70.449      157.546
      113        0.951        5.481            0      468.898       77.156      146.201
      114        0.982        5.550            0      469.758       64.161      152.680
      115        1.013        5.581            0      469.564       89.564      148.170
      116        0.982        5.479            0      467.995       64.733      147.384
      117        0.990        5.440            0      462.992       68.695      145.869
      118        0.934        5.527            0      472.662       72.357      151.378
      119        0.931        5.514            0      468.144       73.745      150.962
      120        0.949        5.463            0      471.311       74.576      142.845
      121        0.930        5.543            0      470.846       72.276      145.650
      122        0.937        5.425            0      469.126       68.796      151.962
      123        1.285        5.484            0      465.845       52.044      151.199
      124        1.216        5.367            0      466.417       55.566      148.911
      125        1.193        5.409            0      466.946       84.267      153.134
