  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.494            1      448.433       61.921      189.970
        1        0.391        5.554            1      451.834       64.084      187.130
        2        0.530        5.669            1      449.103       53.352      196.385
        3        0.530        5.535            1      451.512       59.332      190.350
        4        0.521        5.569            1      446.274       58.755      188.466
        5        0.581        5.520            1      446.665       62.502      190.018
        6        0.574        5.512            1      447.385       58.944      183.861
        7        0.573        5.559            1      446.080       59.939      186.304
        8        1.041        5.546            1      446.340       75.537      199.208
        9        1.035        5.541            1      445.884       87.779      189.757
       10        0.929        5.578            1      448.434       82.890      185.750
       11        1.203        5.547            0      445.980       69.998      188.633
       12        1.150        5.625            1      451.445       85.365      192.329
       13        1.174        5.606            1      451.757       75.962      186.870
       14        1.146        5.558            1      450.793       83.330      192.114
       15        1.145        5.613            1      446.644       72.748      191.349
       16        1.086        5.582            1      448.345       67.039      190.922
       17        1.205        5.584            1      449.831       61.253      188.457
       18        0.876        5.586            1      451.817       81.456      194.213
       19        1.137        5.603            1      450.285       90.864      188.469
       20        0.917        5.575            1      448.420       73.870      195.401
       21        1.038        5.562            1      451.575       79.223      195.631
       22        1.100        5.509            1      445.844       75.670      189.415
       23        0.884        5.552            1      448.491       96.409      189.506
       24        0.845        5.597            1      450.064       75.841      190.045
       25        0.942        5.548            1      447.912       71.546      192.242
       26        0.994        5.535            1      447.399       81.735      189.889
       27        1.041        5.555            1      449.784       84.559      191.992
       28        1.027        5.565            1      450.525       79.275      192.219
       29        0.943        5.530            1      451.385       82.159      194.403
       30        0.892        5.653            1      453.012       88.085      199.453
       31        0.940        5.568            1      448.493       83.151      190.878
       32        1.072        5.619            1      451.802       79.684      193.208
       33        1.028        5.606            1      451.259       76.338      191.545
       34        0.979        5.655            1      452.347       94.833      197.982
       35        1.148        5.515            1      444.512       88.169      198.327
       36        0.812        5.563            1      445.466       77.433      196.333
       37        0.750        5.578            1      450.036       94.895      190.552
       38        1.126        5.571            1      450.626       77.080      194.661
       39        1.013        5.631            1      450.615       94.871      193.279
       40        1.016        5.591            1      447.879       84.486      189.477
       41        1.011        5.634            1      451.815       86.535      193.440
       42        1.026        5.608            1      452.744       72.106      189.512
       43        0.987        5.604            1      454.630       86.802      197.229
       44        1.109        5.618            1      449.948       78.662      194.206
       45        1.003        5.574            1      446.425       65.321      192.123
       46        1.232        5.553            1      447.272       59.537      192.381
       47        1.091        5.538            1      448.676       86.610      191.230
       48        0.980        5.581            1      448.249       91.496      194.255
       49        0.934        5.538            1      449.999       84.992      184.575
       50        0.891        5.541            1      451.575       87.666      189.575
       51        1.089        5.632            1      451.604       75.643      194.076
       52        0.929        5.554            1      450.743       78.741      192.798
       53        1.074        5.566            1      448.117       97.525      197.498
