   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.704        0.913
         2                   1.538        0.521
         3                   1.336        0.253
         4                   1.166        0.380
         5                   1.060        0.298
         6                   0.980        0.513
         7                   0.893        0.388
         8                   0.799        0.332
         9                   0.778        0.397
        10                   0.845        0.518
        11                   0.786        0.390
        12                   0.805        0.328
        13                   0.915        0.400
        14                   0.988        0.408
        15                   1.179        0.574
        16                   2.016        1.526
        17                   1.013        0.719
        18                   1.130        0.894
        19                   1.437        1.409
        20                   1.345        1.435
        21                   0.984        0.382
        22                   0.913        0.340
        23                   0.807        0.289
        24                   1.003        0.382
        25                   1.106        0.467
        26                   1.262        0.508
        27                   1.341        0.524
        28                   1.320        0.587
        29                   1.149        0.507
        30                   1.276        0.436
        31                   1.505        0.529
        32                   1.484        0.327
        33                   1.858        0.647
        34                   2.405        1.540
        35                   2.483        1.665
        36                   2.343        1.527
