,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
0,0,0.168,0.1,0.05,0.168,0.1,0.117,0.0
1,0,0.389,0.213,0.152,0.185,0.309,0.249,0.0
2,1,0.518,0.279,0.543,0.382,0.575,0.46,0.084
3,0,0.301,0.34,0.362,0.33,0.295,0.326,0.0
4,0,0.327,0.235,0.287,0.301,0.293,0.289,0.0
5,0,0.734,0.672,0.738,0.841,0.692,0.735,0.019
6,0,0.541,0.471,0.454,0.58,0.571,0.524,0.04
7,0,0.739,0.576,0.567,0.567,0.7,0.63,0.414
8,1,0.951,0.913,0.849,0.92,0.946,0.916,0.0
9,1,0.612,0.602,0.575,0.568,0.676,0.607,0.429
10,1,0.994,0.992,0.992,0.985,0.992,0.991,0.0
11,1,0.927,0.965,0.833,0.889,0.965,0.916,0.0
12,0,0.104,0.127,0.036,0.166,0.068,0.1,0.0
13,0,0.081,0.117,0.03,0.163,0.056,0.089,0.0
14,0,0.039,0.106,0.009,0.152,0.034,0.068,0.0
15,1,0.992,0.987,0.985,0.989,0.99,0.989,0.0
16,0,0.459,0.449,0.356,0.517,0.351,0.426,0.002
17,0,0.391,0.405,0.232,0.46,0.4,0.378,0.001
18,0,0.36,0.38,0.308,0.602,0.603,0.451,0.098
19,1,0.949,0.924,0.92,0.863,0.969,0.925,0.0
20,0,0.964,0.932,0.944,0.857,0.967,0.933,0.0
21,1,0.947,0.883,0.916,0.803,0.949,0.899,0.0
22,1,0.975,0.94,0.935,0.9,0.979,0.946,0.0
23,0,0.09,0.122,0.034,0.161,0.072,0.096,0.0
24,0,0.092,0.127,0.042,0.175,0.084,0.104,0.0
25,0,0.093,0.138,0.04,0.167,0.069,0.101,0.0
26,0,0.09,0.126,0.031,0.17,0.06,0.095,0.0
27,0,0.069,0.088,0.036,0.176,0.048,0.084,0.0
28,0,0.072,0.095,0.039,0.168,0.05,0.085,0.0
29,1,0.814,0.814,0.834,0.559,0.822,0.769,0.07
30,1,0.814,0.814,0.834,0.559,0.822,0.769,0.07
31,0,0.063,0.111,0.044,0.168,0.06,0.089,0.0
32,1,0.494,0.677,0.503,0.795,0.681,0.63,0.443
33,1,0.888,0.958,0.672,0.854,0.948,0.864,0.008
34,1,0.868,0.828,0.819,0.877,0.917,0.862,0.0
35,0,0.614,0.557,0.466,0.516,0.717,0.574,0.322
36,0,0.17,0.4,0.124,0.517,0.341,0.31,0.019
37,1,0.965,0.985,0.953,0.968,0.977,0.97,0.0
38,1,0.992,0.994,0.976,0.989,0.992,0.989,0.0
39,1,0.869,0.936,0.589,0.889,0.876,0.832,0.039
