,tr_Y,valid1,valid2,valid3,valid4,valid5,tr_score,tr_conf
0,0,0.164,0.126,0.083,0.214,0.071,0.132,0.0
1,1,0.987,0.965,0.973,0.939,0.989,0.971,0.0
2,0,0.089,0.102,0.068,0.173,0.061,0.099,0.0
3,0,0.301,0.109,0.069,0.173,0.115,0.153,0.0
4,0,0.344,0.114,0.081,0.183,0.064,0.157,0.0
5,0,0.209,0.11,0.068,0.182,0.069,0.128,0.0
6,0,0.345,0.117,0.054,0.175,0.07,0.152,0.0
7,0,0.225,0.112,0.06,0.176,0.099,0.134,0.0
8,0,0.103,0.09,0.05,0.171,0.059,0.095,0.0
9,1,0.092,0.092,0.054,0.165,0.053,0.091,0.0
10,0,0.076,0.11,0.058,0.167,0.078,0.098,0.0
11,0,0.14,0.14,0.082,0.181,0.096,0.128,0.0
12,0,0.22,0.217,0.15,0.329,0.303,0.244,0.0
13,1,0.753,0.36,0.555,0.623,0.686,0.595,0.446
14,1,0.569,0.33,0.58,0.469,0.714,0.532,0.262
15,1,0.943,0.884,0.926,0.812,0.97,0.907,0.0
16,1,0.938,0.925,0.918,0.744,0.949,0.895,0.0
17,0,0.422,0.365,0.367,0.339,0.303,0.359,0.0
18,0,0.433,0.465,0.31,0.466,0.331,0.401,0.001
19,0,0.713,0.602,0.603,0.568,0.694,0.636,0.347
20,0,0.713,0.602,0.603,0.568,0.694,0.636,0.347
21,0,0.301,0.34,0.362,0.33,0.295,0.326,0.0
22,0,0.182,0.291,0.201,0.229,0.169,0.214,0.0
23,1,0.742,0.68,0.654,0.644,0.681,0.68,0.026
24,1,0.591,0.656,0.528,0.707,0.198,0.536,0.333
25,0,0.828,0.765,0.668,0.818,0.851,0.786,0.004
26,0,0.141,0.148,0.131,0.189,0.156,0.153,0.0
27,1,0.739,0.576,0.567,0.567,0.7,0.63,0.414
28,1,0.59,0.432,0.432,0.534,0.725,0.543,0.259
29,1,0.828,0.765,0.668,0.818,0.851,0.786,0.004
30,1,0.951,0.913,0.849,0.92,0.946,0.916,0.0
31,1,0.882,0.889,0.792,0.818,0.906,0.858,0.0
32,0,0.587,0.484,0.527,0.497,0.626,0.544,0.099
33,0,0.871,0.708,0.763,0.777,0.906,0.805,0.004
34,1,0.435,0.358,0.33,0.339,0.373,0.367,0.0
35,1,0.973,0.949,0.936,0.932,0.957,0.949,0.0
36,0,0.246,0.451,0.197,0.472,0.318,0.337,0.006
37,0,0.166,0.232,0.113,0.196,0.14,0.169,0.0
38,1,0.39,0.527,0.492,0.549,0.58,0.508,0.053
39,1,0.869,0.767,0.767,0.827,0.887,0.823,0.0
40,1,0.997,0.997,0.995,0.994,0.996,0.996,0.0
41,1,0.995,0.977,0.975,0.981,0.989,0.983,0.0
42,1,0.956,0.974,0.92,0.945,0.979,0.955,0.0
43,0,0.435,0.358,0.33,0.339,0.373,0.367,0.0
44,1,0.998,0.998,0.996,0.996,0.998,0.997,0.0
45,1,0.604,0.355,0.524,0.486,0.64,0.522,0.179
46,1,0.152,0.293,0.085,0.265,0.276,0.214,0.0
47,0,0.255,0.296,0.161,0.364,0.641,0.343,0.048
48,0,0.083,0.175,0.061,0.181,0.069,0.114,0.0
49,1,0.206,0.112,0.195,0.142,0.083,0.147,0.0
50,1,0.953,0.974,0.836,0.888,0.919,0.914,0.0
51,1,0.758,0.734,0.719,0.755,0.563,0.706,0.103
52,1,0.961,0.915,0.917,0.974,0.944,0.942,0.0
53,1,0.926,0.866,0.812,0.867,0.802,0.855,0.0
54,1,0.932,0.91,0.942,0.969,0.949,0.94,0.0
55,0,0.129,0.128,0.055,0.17,0.094,0.115,0.0
56,0,0.081,0.117,0.03,0.163,0.056,0.089,0.0
57,0,0.081,0.117,0.03,0.163,0.056,0.089,0.0
58,0,0.081,0.117,0.03,0.163,0.056,0.089,0.0
59,0,0.129,0.128,0.055,0.17,0.094,0.115,0.0
60,0,0.081,0.117,0.03,0.163,0.056,0.089,0.0
61,0,0.048,0.122,0.03,0.167,0.053,0.084,0.0
62,0,0.05,0.122,0.027,0.168,0.061,0.086,0.0
63,0,0.05,0.124,0.023,0.169,0.057,0.085,0.0
64,0,0.053,0.119,0.018,0.162,0.052,0.081,0.0
65,0,0.055,0.111,0.013,0.157,0.048,0.077,0.0
66,1,0.997,0.996,0.992,0.991,0.995,0.994,0.0
67,1,0.991,0.964,0.97,0.973,0.981,0.976,0.0
68,1,0.996,0.995,0.991,0.991,0.994,0.993,0.0
69,1,0.992,0.987,0.985,0.989,0.99,0.989,0.0
70,0,0.333,0.374,0.176,0.453,0.34,0.335,0.001
71,0,0.341,0.353,0.218,0.451,0.288,0.33,0.0
72,0,0.344,0.31,0.155,0.365,0.284,0.292,0.0
73,0,0.343,0.296,0.201,0.439,0.341,0.324,0.0
74,0,0.628,0.862,0.563,0.673,0.609,0.667,0.304
75,1,0.809,0.737,0.613,0.698,0.815,0.735,0.053
76,1,0.475,0.473,0.611,0.596,0.713,0.573,0.329
77,1,0.949,0.952,0.927,0.901,0.972,0.94,0.0
78,0,0.177,0.273,0.143,0.423,0.456,0.295,0.006
79,1,0.964,0.932,0.944,0.857,0.967,0.933,0.0
