,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
0,0,0.718,0.411,0.182,0.36,0.216,0.378,0.108
1,0,0.159,0.19,0.226,0.184,0.219,0.196,0.0
2,1,0.252,0.348,0.303,0.236,0.379,0.303,0.0
3,0,0.237,0.197,0.306,0.226,0.251,0.243,0.0
4,0,0.224,0.238,0.35,0.289,0.257,0.272,0.0
5,0,0.636,0.592,0.576,0.621,0.606,0.606,0.365
6,0,0.339,0.26,0.362,0.305,0.277,0.309,0.0
7,0,0.753,0.581,0.657,0.645,0.643,0.656,0.222
8,1,0.96,0.949,0.969,0.97,0.977,0.965,0.0
9,1,0.256,0.213,0.351,0.273,0.235,0.265,0.0
10,1,0.952,0.906,0.944,0.971,0.967,0.948,0.0
11,1,0.802,0.706,0.752,0.71,0.755,0.745,0.0
12,0,0.346,0.005,0.0,0.02,0.001,0.074,0.0
13,0,0.394,0.012,0.0,0.037,0.003,0.089,0.0
14,0,0.006,0.025,0.005,0.008,0.0,0.009,0.0
15,1,0.995,0.981,0.996,1.0,0.997,0.994,0.0
16,0,0.637,0.465,0.601,0.595,0.48,0.556,0.202
17,0,0.245,0.354,0.376,0.485,0.298,0.352,0.001
18,0,0.25,0.28,0.332,0.205,0.316,0.276,0.0
19,1,0.431,0.485,0.509,0.55,0.659,0.527,0.128
20,0,0.758,0.656,0.696,0.745,0.82,0.735,0.015
21,1,0.808,0.754,0.742,0.784,0.848,0.787,0.0
22,1,0.81,0.706,0.731,0.73,0.817,0.759,0.001
23,0,0.0,0.01,0.027,0.01,0.018,0.013,0.0
24,0,0.0,0.002,0.011,0.003,0.003,0.004,0.0
25,0,0.0,0.016,0.03,0.012,0.01,0.014,0.0
26,0,0.0,0.056,0.031,0.014,0.017,0.024,0.0
27,0,0.0,0.252,0.083,0.087,0.053,0.095,0.0
28,0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
29,1,0.953,0.927,0.944,0.935,0.958,0.944,0.0
30,1,0.958,0.94,0.955,0.941,0.964,0.952,0.0
31,0,0.457,0.308,0.227,0.403,0.145,0.308,0.003
32,1,0.763,0.65,0.688,0.724,0.8,0.725,0.018
