,tr_Y,valid1,valid2,valid3,valid4,valid5,tr_score,tr_conf
0,0,0.555,0.366,0.344,0.335,0.214,0.363,0.011
1,1,0.798,0.79,0.667,0.718,0.895,0.774,0.019
2,0,0.177,0.025,0.066,0.031,0.014,0.063,0.0
3,0,0.186,0.188,0.237,0.203,0.115,0.186,0.0
4,0,0.763,0.394,0.544,0.417,0.338,0.491,0.21
5,0,0.743,0.613,0.349,0.358,0.243,0.461,0.206
6,0,0.772,0.679,0.659,0.616,0.632,0.672,0.145
7,0,0.77,0.593,0.656,0.611,0.596,0.645,0.317
8,0,0.085,0.289,0.07,0.065,0.241,0.15,0.0
9,1,0.3,0.64,0.205,0.136,0.683,0.393,0.164
10,0,0.052,0.039,0.049,0.043,0.076,0.052,0.0
11,0,0.11,0.12,0.123,0.108,0.148,0.122,0.0
12,0,0.333,0.33,0.284,0.221,0.542,0.342,0.006
13,1,0.9,0.893,0.841,0.908,0.958,0.9,0.0
14,1,0.437,0.637,0.41,0.382,0.81,0.535,0.317
15,1,0.775,0.748,0.656,0.7,0.879,0.752,0.034
16,1,0.759,0.731,0.651,0.682,0.87,0.739,0.049
17,0,0.621,0.61,0.647,0.563,0.716,0.631,0.363
18,0,0.673,0.312,0.388,0.621,0.387,0.476,0.169
19,0,0.512,0.325,0.452,0.391,0.345,0.405,0.001
20,0,0.471,0.303,0.396,0.404,0.378,0.39,0.0
21,0,0.142,0.145,0.249,0.157,0.121,0.163,0.0
22,0,0.058,0.104,0.188,0.191,0.082,0.124,0.0
23,1,0.306,0.313,0.196,0.25,0.149,0.243,0.0
24,1,0.477,0.523,0.575,0.536,0.448,0.512,0.011
25,0,0.333,0.293,0.206,0.281,0.163,0.255,0.0
26,0,0.042,0.007,0.068,0.032,0.023,0.034,0.0
27,1,0.754,0.586,0.666,0.65,0.655,0.662,0.183
28,1,0.919,0.787,0.844,0.863,0.973,0.877,0.0
29,1,0.792,0.685,0.618,0.753,0.877,0.745,0.069
30,1,0.942,0.924,0.947,0.957,0.966,0.947,0.0
31,1,0.905,0.853,0.892,0.919,0.929,0.9,0.0
32,0,0.181,0.172,0.299,0.218,0.197,0.214,0.0
33,0,0.754,0.544,0.607,0.601,0.613,0.624,0.442
34,1,0.509,0.269,0.376,0.334,0.316,0.361,0.001
35,1,0.977,0.969,0.993,0.989,0.988,0.983,0.0
36,0,0.754,0.596,0.674,0.655,0.653,0.667,0.149
37,0,0.57,0.264,0.348,0.343,0.338,0.373,0.01
38,1,0.726,0.666,0.604,0.71,0.753,0.692,0.068
39,1,0.755,0.597,0.671,0.658,0.676,0.671,0.126
40,1,0.986,0.994,0.999,0.998,0.995,0.994,0.0
41,1,0.997,0.994,0.998,1.0,0.999,0.998,0.0
42,1,0.802,0.707,0.752,0.709,0.753,0.745,0.0
43,0,0.254,0.206,0.341,0.27,0.232,0.261,0.0
44,1,0.952,0.906,0.944,0.971,0.967,0.948,0.0
45,1,0.561,0.545,0.669,0.733,0.497,0.601,0.444
46,1,0.858,0.791,0.785,0.849,0.899,0.836,0.0
47,0,0.034,0.023,0.102,0.088,0.048,0.059,0.0
48,0,0.094,0.165,0.251,0.208,0.126,0.169,0.0
49,1,0.75,0.625,0.568,0.486,0.554,0.597,0.424
50,1,1.0,0.961,0.985,0.965,0.997,0.982,0.0
51,1,0.797,0.804,0.812,1.0,0.353,0.753,0.257
52,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1,0.864,0.654,0.68,0.707,0.841,0.749,0.058
54,1,0.766,0.653,0.698,0.734,0.791,0.728,0.01
55,0,0.23,0.001,0.0,0.002,0.0,0.047,0.0
56,0,0.293,0.002,0.0,0.006,0.0,0.06,0.0
57,0,0.349,0.007,0.0,0.02,0.001,0.075,0.0
58,0,0.353,0.006,0.0,0.019,0.001,0.076,0.0
59,0,0.259,0.001,0.0,0.004,0.0,0.053,0.0
60,0,0.321,0.004,0.0,0.011,0.0,0.067,0.0
61,0,0.06,0.37,0.116,0.046,0.002,0.119,0.0
62,0,0.02,0.205,0.034,0.031,0.001,0.058,0.0
63,0,0.076,0.206,0.073,0.032,0.001,0.078,0.0
64,0,0.008,0.034,0.006,0.008,0.0,0.011,0.0
65,0,0.003,0.036,0.004,0.005,0.0,0.01,0.0
66,1,0.925,0.87,0.908,0.949,0.949,0.92,0.0
67,1,0.999,0.998,0.999,1.0,1.0,0.999,0.0
68,1,0.996,0.982,0.996,1.0,0.998,0.994,0.0
69,1,0.995,0.986,0.997,1.0,0.998,0.995,0.0
70,0,0.743,0.591,0.685,0.724,0.776,0.704,0.078
71,0,0.383,0.368,0.634,0.572,0.38,0.467,0.097
72,0,0.314,0.417,0.414,0.466,0.381,0.398,0.0
73,0,0.458,0.398,0.462,0.575,0.371,0.453,0.011
74,0,0.53,0.44,0.522,0.587,0.443,0.504,0.026
75,1,0.782,0.516,0.689,0.642,0.737,0.673,0.257
