,te_Y,valid1,valid2,valid3,valid4,valid5,te_score,te_conf
0,0,0.203,0.145,0.21,0.165,0.207,0.186,0.0
1,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
2,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
3,0,0.321,0.213,0.287,0.227,0.264,0.262,0.0
4,0,0.321,0.213,0.287,0.227,0.264,0.262,0.0
5,0,0.276,0.213,0.282,0.227,0.259,0.251,0.0
6,0,0.441,0.333,0.359,0.314,0.345,0.358,0.0
7,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
8,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
9,1,0.441,0.333,0.359,0.314,0.345,0.358,0.0
10,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
11,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
12,0,0.246,0.197,0.198,0.17,0.22,0.206,0.0
13,0,0.422,0.38,0.297,0.365,0.368,0.366,0.0
14,0,0.209,0.45,0.277,0.367,0.292,0.319,0.0
15,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
16,0,0.321,0.213,0.287,0.227,0.264,0.262,0.0
17,0,0.216,0.133,0.211,0.159,0.203,0.184,0.0
18,0,0.441,0.333,0.359,0.314,0.345,0.358,0.0
19,1,0.441,0.333,0.359,0.314,0.345,0.358,0.0
20,0,0.67,0.652,0.653,0.64,0.55,0.633,0.325
21,1,0.653,0.664,0.621,0.635,0.592,0.633,0.222
22,1,0.999,1.0,1.0,1.0,1.0,1.0,0.0
23,0,0.138,0.086,0.152,0.11,0.154,0.128,0.0
24,0,0.276,0.213,0.282,0.227,0.259,0.251,0.0
25,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
26,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
27,0,0.686,0.664,0.68,0.655,0.71,0.679,0.0
28,0,0.692,0.735,0.684,0.683,0.716,0.702,0.0
29,1,0.989,0.976,0.981,0.974,0.997,0.983,0.0
30,1,0.988,0.968,0.97,0.973,0.995,0.979,0.0
31,0,0.67,0.652,0.653,0.64,0.55,0.633,0.325
32,1,0.68,0.664,0.64,0.639,0.58,0.641,0.212
33,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
34,1,0.68,0.664,0.64,0.639,0.58,0.641,0.212
35,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
36,0,0.68,0.664,0.64,0.639,0.58,0.641,0.212
37,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
38,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
39,1,0.686,0.664,0.68,0.655,0.71,0.679,0.0
40,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
41,1,0.441,0.333,0.359,0.314,0.345,0.358,0.0
42,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
43,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
44,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
45,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
46,0,0.68,0.664,0.64,0.639,0.58,0.641,0.212
47,0,0.441,0.333,0.359,0.314,0.345,0.358,0.0
48,0,0.087,0.055,0.107,0.075,0.115,0.088,0.0
49,0,0.087,0.055,0.107,0.075,0.115,0.088,0.0
50,0,0.203,0.145,0.21,0.165,0.207,0.186,0.0
51,0,0.138,0.086,0.152,0.11,0.154,0.128,0.0
52,0,0.276,0.213,0.282,0.227,0.259,0.251,0.0
53,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
54,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
55,1,0.434,0.36,0.404,0.359,0.377,0.387,0.0
56,0,0.422,0.38,0.297,0.365,0.368,0.366,0.0
57,0,0.434,0.36,0.404,0.359,0.377,0.387,0.0
58,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
59,1,0.441,0.333,0.359,0.314,0.345,0.358,0.0
60,0,0.361,0.289,0.355,0.299,0.314,0.323,0.0
61,1,0.361,0.289,0.355,0.299,0.314,0.323,0.0
62,0,0.692,0.735,0.684,0.683,0.716,0.702,0.0
63,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
64,1,0.381,0.384,0.336,0.404,0.382,0.377,0.0
65,0,0.67,0.652,0.653,0.64,0.55,0.633,0.325
66,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
67,0,0.385,0.384,0.342,0.405,0.384,0.38,0.0
68,1,0.385,0.384,0.342,0.405,0.384,0.38,0.0
69,0,0.385,0.384,0.342,0.405,0.384,0.38,0.0
70,0,0.385,0.384,0.342,0.405,0.384,0.38,0.0
71,1,0.692,0.735,0.684,0.683,0.716,0.702,0.0
72,1,0.671,0.658,0.67,0.667,0.679,0.669,0.0
73,0,0.953,0.889,0.899,0.937,0.97,0.929,0.0
74,0,0.671,0.658,0.67,0.667,0.679,0.669,0.0
