Hyper-parameters:

  batch_size   16
  optimizer  adam
  lr           0.005
  lr_decrease_epoch 20
  lr_decrease_by    0.01


processing train1:

Epoch 1, train loss = 0.631, valid loss = 0.511, time 0m 0s
Epoch 2, train loss = 0.570, valid loss = 0.513, time 0m 0s
Epoch 3, train loss = 0.544, valid loss = 0.508, time 0m 0s
Epoch 4, train loss = 0.531, valid loss = 0.485, time 0m 0s
Epoch 5, train loss = 0.540, valid loss = 0.503, time 0m 0s
Epoch 6, train loss = 0.538, valid loss = 0.493, time 0m 0s
Epoch 7, train loss = 0.520, valid loss = 0.491, time 0m 0s
Epoch 8, train loss = 0.518, valid loss = 0.486, time 0m 0s
Epoch 9, train loss = 0.527, valid loss = 0.486, time 0m 1s
Epoch 10, train loss = 0.529, valid loss = 0.487, time 0m 1s
Epoch 11, train loss = 0.536, valid loss = 0.491, time 0m 1s
Epoch 12, train loss = 0.509, valid loss = 0.488, time 0m 1s
Epoch 13, train loss = 0.507, valid loss = 0.481, time 0m 1s
Epoch 14, train loss = 0.518, valid loss = 0.488, time 0m 1s
Epoch 15, train loss = 0.513, valid loss = 0.485, time 0m 1s
Epoch 16, train loss = 0.514, valid loss = 0.480, time 0m 1s
Epoch 17, train loss = 0.524, valid loss = 0.486, time 0m 1s
Epoch 18, train loss = 0.517, valid loss = 0.476, time 0m 1s
Epoch 19, train loss = 0.520, valid loss = 0.482, time 0m 1s
Epoch 20, train loss = 0.500, valid loss = 0.483, time 0m 1s
Epoch 21, train loss = 0.507, valid loss = 0.482, time 0m 1s
Epoch 22, train loss = 0.514, valid loss = 0.479, time 0m 1s
Epoch 23, train loss = 0.529, valid loss = 0.478, time 0m 1s
Epoch 24, train loss = 0.504, valid loss = 0.479, time 0m 1s
Epoch 25, train loss = 0.511, valid loss = 0.487, time 0m 1s
Epoch 26, train loss = 0.517, valid loss = 0.487, time 0m 2s
Epoch 27, train loss = 0.511, valid loss = 0.481, time 0m 2s
Epoch 28, train loss = 0.509, valid loss = 0.486, time 0m 2s
Epoch 29, train loss = 0.514, valid loss = 0.484, time 0m 2s
Epoch 30, train loss = 0.518, valid loss = 0.481, time 0m 2s
Epoch 31, train loss = 0.516, valid loss = 0.490, time 0m 2s
Epoch 32, train loss = 0.496, valid loss = 0.488, time 0m 2s
Epoch 33, train loss = 0.496, valid loss = 0.489, time 0m 2s
Epoch 34, train loss = 0.512, valid loss = 0.495, time 0m 2s
Epoch 35, train loss = 0.495, valid loss = 0.489, time 0m 2s
Epoch 36, train loss = 0.515, valid loss = 0.495, time 0m 2s
Epoch 37, train loss = 0.500, valid loss = 0.489, time 0m 2s
Epoch 38, train loss = 0.513, valid loss = 0.493, time 0m 2s
Epoch 39, train loss = 0.514, valid loss = 0.491, time 0m 2s
Epoch 40, train loss = 0.508, valid loss = 0.492, time 0m 2s

Select best Epoch:
Epoch 20, train loss = 0.500, valid loss = 0.483, Spearmanr = -0.79
Epoch 40, train loss = 0.508, valid loss = 0.492, Spearmanr = 0.85
Final Epoch: 20

valid for train1:
  tp=104, tn=56, fp=21, fn=17
  se=0.8595, sp=0.7273, acc=0.8081, mcc=0.593, auc=0.843


processing train2:

Epoch 1, train loss = 0.677, valid loss = 0.546, time 0m 2s
Epoch 2, train loss = 0.589, valid loss = 0.531, time 0m 3s
Epoch 3, train loss = 0.538, valid loss = 0.510, time 0m 3s
Epoch 4, train loss = 0.543, valid loss = 0.502, time 0m 3s
Epoch 5, train loss = 0.549, valid loss = 0.505, time 0m 3s
Epoch 6, train loss = 0.538, valid loss = 0.506, time 0m 3s
Epoch 7, train loss = 0.527, valid loss = 0.503, time 0m 3s
Epoch 8, train loss = 0.524, valid loss = 0.498, time 0m 3s
Epoch 9, train loss = 0.525, valid loss = 0.502, time 0m 3s
Epoch 10, train loss = 0.518, valid loss = 0.494, time 0m 3s
Epoch 11, train loss = 0.536, valid loss = 0.499, time 0m 3s
Epoch 12, train loss = 0.520, valid loss = 0.493, time 0m 3s
Epoch 13, train loss = 0.514, valid loss = 0.492, time 0m 3s
Epoch 14, train loss = 0.527, valid loss = 0.493, time 0m 3s
Epoch 15, train loss = 0.523, valid loss = 0.495, time 0m 3s
Epoch 16, train loss = 0.525, valid loss = 0.496, time 0m 3s
Epoch 17, train loss = 0.511, valid loss = 0.494, time 0m 3s
Epoch 18, train loss = 0.528, valid loss = 0.496, time 0m 3s
Epoch 19, train loss = 0.512, valid loss = 0.493, time 0m 3s
Epoch 20, train loss = 0.511, valid loss = 0.494, time 0m 3s
Epoch 21, train loss = 0.510, valid loss = 0.491, time 0m 4s
Epoch 22, train loss = 0.512, valid loss = 0.494, time 0m 4s
Epoch 23, train loss = 0.503, valid loss = 0.493, time 0m 4s
Epoch 24, train loss = 0.503, valid loss = 0.494, time 0m 4s
Epoch 25, train loss = 0.510, valid loss = 0.493, time 0m 4s
Epoch 26, train loss = 0.516, valid loss = 0.496, time 0m 4s
Epoch 27, train loss = 0.506, valid loss = 0.490, time 0m 4s
Epoch 28, train loss = 0.512, valid loss = 0.493, time 0m 4s
Epoch 29, train loss = 0.518, valid loss = 0.494, time 0m 4s
Epoch 30, train loss = 0.510, valid loss = 0.494, time 0m 4s
Epoch 31, train loss = 0.511, valid loss = 0.493, time 0m 4s
Epoch 32, train loss = 0.507, valid loss = 0.490, time 0m 4s
Epoch 33, train loss = 0.518, valid loss = 0.492, time 0m 4s
Epoch 34, train loss = 0.510, valid loss = 0.491, time 0m 4s
Epoch 35, train loss = 0.519, valid loss = 0.496, time 0m 4s
Epoch 36, train loss = 0.501, valid loss = 0.487, time 0m 4s
Epoch 37, train loss = 0.512, valid loss = 0.492, time 0m 4s
Epoch 38, train loss = 0.513, valid loss = 0.488, time 0m 4s
Epoch 39, train loss = 0.510, valid loss = 0.491, time 0m 4s
Epoch 40, train loss = 0.520, valid loss = 0.489, time 0m 4s
Epoch 41, train loss = 0.512, valid loss = 0.489, time 0m 5s
Epoch 42, train loss = 0.506, valid loss = 0.487, time 0m 5s
Epoch 43, train loss = 0.503, valid loss = 0.487, time 0m 5s
Epoch 44, train loss = 0.496, valid loss = 0.482, time 0m 5s
Epoch 45, train loss = 0.510, valid loss = 0.487, time 0m 5s
Epoch 46, train loss = 0.512, valid loss = 0.485, time 0m 5s
