N_posi = 723, N_nega = 455

Range	n_posi	percent_posi	n_nega	percent_nega	ratio
[0.0, 0.05)	0	0.00%	5	1.10%	0.000
[0.05, 0.1)	2	0.28%	39	8.57%	0.031
[0.1, 0.15)	0	0.00%	74	16.26%	0.000
[0.15, 0.2)	2	0.28%	44	9.67%	0.028
[0.2, 0.25)	0	0.00%	43	9.45%	0.000
[0.25, 0.3)	1	0.14%	32	7.03%	0.019
[0.3, 0.35)	3	0.41%	38	8.35%	0.047
[0.35, 0.4)	3	0.41%	32	7.03%	0.056
[0.4, 0.45)	6	0.83%	34	7.47%	0.100
[0.45, 0.5)	10	1.38%	31	6.81%	0.169
[0.5, 0.55)	15	2.07%	23	5.05%	0.291
[0.55, 0.6)	23	3.18%	18	3.96%	0.446
[0.6, 0.65)	38	5.26%	16	3.52%	0.599
[0.65, 0.7)	44	6.09%	5	1.10%	0.847
[0.7, 0.75)	54	7.47%	6	1.32%	0.850
[0.75, 0.8)	84	11.62%	6	1.32%	0.898
[0.8, 0.85)	73	10.10%	6	1.32%	0.884
[0.85, 0.9)	76	10.51%	3	0.66%	0.941
[0.9, 0.95)	99	13.69%	0	0.00%	1.000
[0.95, 1.0]	190	26.28%	0	0.00%	1.000
