NO,Name,CompdKey,SMILES,Class,Type,Relation,Value,Unit,Source,Date,Remark,Aromatic_SMILES,Kekulized_SMILES,InChiKey,Duplicate,Unique_Value,Unique_Remark,target_binary,Flatten_SMILES
3,TTK_0003,11,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4=CC=C(F)C=C4)C=C3)C=CC2=N1,QMCXPLCODOYMLR-UHFFFAOYSA-N,Unique,1.0,Unique,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2n1
16,TTK_0011,19,Cc1cc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc(C)c1O,TTK,enzymatic IC50,equal to,7.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",Cc1cc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc(C)c1O,CC1=CC(C2=CN3N=C(NC4=CC=CC=C4C#N)N=C3C=C2)=CC(C)=C1O,RMKFZDUUJFWPFL-UHFFFAOYSA-N,Unique,7.0,Unique,1,Cc1cc(-c2ccc3nc(Nc4ccccc4C#N)nn3c2)cc(C)c1O
27,TTK_0016,24,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC4CC4)cc3)cn2n1,TTK,enzymatic IC50,equal to,6.3,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC4CC4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4CC4)C=C3)C=CC2=N1,CWIKMYBEUQCXTD-UHFFFAOYSA-N,Unique,6.3,Unique,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC4CC4)cc3)cn2n1
28,TTK_0017,25,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC(F)(F)F)cc3)cn2n1,TTK,enzymatic IC50,equal to,4.6,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC(F)(F)F)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC(F)(F)F)C=C3)C=CC2=N1,TUDKYWCYWGTBJX-UHFFFAOYSA-N,Unique,4.6,Unique,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CC(F)(F)F)cc3)cn2n1
30,TTK_0018,26,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CCC4CC4)cc3)cn2n1,TTK,enzymatic IC50,equal to,3.9,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CCC4CC4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CCC4CC4)C=C3)C=CC2=N1,VEQPVTZSIODMFF-UHFFFAOYSA-N,Unique,3.9,Unique,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)CCC4CC4)cc3)cn2n1
32,TTK_0019,27,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(NC(=O)CC4=CC=CC=C4)C=C3)C=CC2=N1,RPGJGJRXGBZPLW-UHFFFAOYSA-N,"[Name = TTK_0816, Relation = less than, Value = 1]",1.0,same,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(NC(=O)Cc4ccccc4)cc3)cn2n1
34,TTK_0020,28,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cn2n1,TTK,enzymatic IC50,less than,1.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",N#Cc1ccccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cn2n1,N#CC1=CC=CC=C1NC1=NN2C=C(C3=CC=C(C(=O)NCC4=CC=CC=C4)C=C3)C=CC2=N1,BDWHDYCIHXZNJP-UHFFFAOYSA-N,Unique,1.0,Unique,1,N#Cc1ccccc1Nc1nc2ccc(-c3ccc(C(=O)NCc4ccccc4)cc3)cn2n1
67,TTK_0029,53,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCC(F)(F)F)nccn23)cc1,TTK,enzymatic IC50,equal to,5.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",O=C(NC1CC1)c1ccc(-c2cnc3c(NCCC(F)(F)F)nccn23)cc1,O=C(NC1CC1)C1=CC=C(C2=CN=C3C(NCCC(F)(F)F)=NC=CN23)C=C1,ONMCQVFQANHXPX-UHFFFAOYSA-N,Unique,5.0,Unique,1,O=C(NC1CC1)c1ccc(-c2cnc3c(NCCC(F)(F)F)nccn23)cc1
71,TTK_0031,55,CC(C)CNc1nccn2c(-c3ccc4c(N)n[nH]c4c3)cnc12,TTK,enzymatic IC50,equal to,3.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",CC(C)CNc1nccn2c(-c3ccc4c(N)n[nH]c4c3)cnc12,CC(C)CNC1=NC=CN2C(C3=CC=C4C(=C3)NN=C4N)=CN=C12,BPNDSYLVPOJLDG-UHFFFAOYSA-N,Unique,3.0,Unique,1,CC(C)CNc1nccn2c(-c3ccc4c(N)n[nH]c4c3)cnc12
85,TTK_0038,62,CC(C)CNc1nc(-c2ccccc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,TTK,enzymatic IC50,equal to,2.0,nM,CHEMBL4619753,20230817,"HTRF-based MPS1 assay, low ATP (10 uM)",CC(C)CNc1nc(-c2ccccc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,CC(C)CNC1=NC(C2=CC=CC=C2)=CN2C(C3=CC=C(C(=O)NC4CC4)C=C3)=CN=C12,QGCHHJBTBVGDDZ-UHFFFAOYSA-N,Unique,2.0,Unique,1,CC(C)CNc1nc(-c2ccccc2)cn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12
