Epoch	Step	Loss
1	1	32.27
1	2	27.92
1	3	23.53
1	4	22.32
1	5	21.08
1	6	20.70
1	7	19.88
1	8	19.34
1	9	22.02
1	10	17.86
1	11	17.71
1	12	17.23
1	13	17.81
1	14	18.83
1	15	17.76
1	16	16.74
1	17	15.23
1	18	15.15
1	19	17.11
1	20	15.08
1	21	14.16
1	22	17.12
2	1	12.45
2	2	12.54
2	3	13.77
2	4	13.40
2	5	12.04
2	6	12.19
2	7	12.14
2	8	13.97
2	9	11.55
2	10	12.42
2	11	11.96
2	12	13.26
2	13	12.23
2	14	11.63
2	15	13.51
2	16	13.16
2	17	12.20
2	18	10.63
2	19	12.27
2	20	12.06
2	21	10.74
2	22	11.24
3	1	10.45
3	2	9.99
3	3	9.82
3	4	10.26
3	5	11.33
3	6	10.07
3	7	11.05
3	8	10.27
3	9	10.79
3	10	9.96
3	11	10.41
3	12	10.32
3	13	10.09
3	14	11.07
3	15	10.18
3	16	10.11
3	17	11.34
3	18	10.70
3	19	11.23
3	20	10.51
3	21	10.42
3	22	10.33
4	1	9.46
4	2	9.63
4	3	9.09
4	4	9.70
4	5	8.92
4	6	9.85
4	7	9.24
4	8	9.79
4	9	9.41
4	10	9.68
4	11	9.55
4	12	9.72
4	13	9.93
4	14	9.98
4	15	9.74
4	16	10.28
4	17	9.70
4	18	9.77
4	19	9.66
4	20	9.47
4	21	9.89
4	22	9.39
5	1	8.78
5	2	8.69
5	3	8.57
5	4	8.18
5	5	8.76
5	6	8.56
5	7	9.26
5	8	9.32
5	9	9.03
5	10	8.91
5	11	9.58
5	12	9.18
5	13	8.92
5	14	9.13
5	15	9.04
5	16	9.01
5	17	9.26
5	18	9.16
5	19	8.99
5	20	9.17
5	21	9.09
5	22	9.81
6	1	8.61
6	2	8.48
6	3	8.33
6	4	8.65
6	5	8.69
6	6	8.71
6	7	8.49
6	8	8.60
6	9	8.78
6	10	8.74
6	11	8.14
6	12	8.60
6	13	8.73
6	14	8.59
6	15	9.32
6	16	8.82
6	17	9.03
6	18	8.61
6	19	8.94
6	20	9.16
6	21	8.97
6	22	9.03
7	1	8.39
7	2	8.02
7	3	8.20
7	4	8.09
7	5	8.50
7	6	8.60
7	7	8.08
7	8	8.24
7	9	8.21
7	10	8.24
7	11	8.43
7	12	8.27
7	13	8.68
7	14	8.28
7	15	8.91
7	16	8.53
7	17	8.99
7	18	8.49
7	19	8.97
7	20	8.63
7	21	8.79
7	22	8.80
8	1	7.39
8	2	7.95
8	3	7.88
8	4	7.87
8	5	8.34
8	6	8.04
8	7	7.82
8	8	8.27
8	9	8.37
8	10	8.22
8	11	8.57
8	12	8.40
8	13	8.29
8	14	8.09
8	15	8.57
8	16	8.53
8	17	8.74
8	18	8.64
8	19	8.66
8	20	8.82
8	21	8.43
8	22	8.85
9	1	7.68
9	2	7.40
9	3	7.72
9	4	7.87
9	5	7.85
9	6	7.97
9	7	8.21
9	8	8.02
9	9	7.98
9	10	8.14
9	11	8.14
9	12	8.30
9	13	8.21
9	14	8.20
9	15	8.12
9	16	8.18
9	17	8.63
9	18	8.57
9	19	8.55
9	20	8.26
9	21	8.53
9	22	8.70
10	1	7.36
10	2	7.85
10	3	7.49
10	4	7.73
10	5	7.58
10	6	7.71
10	7	8.05
10	8	8.04
10	9	8.11
10	10	8.31
10	11	8.04
10	12	7.68
10	13	7.77
10	14	8.44
10	15	7.81
10	16	8.23
10	17	8.08
10	18	8.24
10	19	8.30
10	20	7.94
10	21	8.26
10	22	8.24
11	1	7.59
11	2	7.50
11	3	8.00
11	4	7.57
11	5	7.23
11	6	7.61
11	7	7.68
11	8	7.73
11	9	7.95
11	10	7.70
11	11	7.56
11	12	7.96
11	13	8.05
11	14	8.02
11	15	7.95
11	16	8.07
11	17	8.24
11	18	8.15
11	19	8.26
11	20	8.26
11	21	7.96
11	22	8.16
12	1	7.34
12	2	7.55
12	3	7.28
12	4	7.56
12	5	7.86
12	6	7.38
12	7	7.51
12	8	7.56
12	9	7.82
12	10	7.68
12	11	7.80
12	12	7.56
12	13	7.88
12	14	7.86
12	15	7.62
12	16	7.84
12	17	8.09
12	18	8.00
12	19	8.28
12	20	8.28
12	21	8.21
12	22	8.13
13	1	7.42
13	2	7.19
13	3	7.34
13	4	7.44
13	5	7.25
13	6	7.76
13	7	7.38
13	8	7.76
13	9	7.82
13	10	7.58
13	11	7.49
13	12	7.93
13	13	7.87
13	14	7.85
13	15	7.72
13	16	7.75
13	17	7.77
13	18	7.97
13	19	8.24
13	20	7.63
13	21	7.96
13	22	7.78
14	1	7.16
14	2	7.17
14	3	7.20
14	4	7.66
14	5	7.30
14	6	7.59
14	7	7.68
14	8	7.38
14	9	7.65
14	10	7.57
14	11	7.77
14	12	7.76
14	13	7.55
14	14	7.66
14	15	7.50
14	16	7.92
14	17	8.05
14	18	7.77
14	19	7.70
14	20	8.03
14	21	7.65
14	22	7.76
15	1	6.91
15	2	7.10
15	3	7.43
15	4	7.32
15	5	7.19
15	6	7.34
15	7	7.59
15	8	7.49
15	9	7.78
15	10	7.37
15	11	7.70
15	12	7.69
15	13	7.63
15	14	7.53
15	15	7.71
15	16	7.49
15	17	7.84
15	18	7.70
15	19	7.72
15	20	7.89
15	21	7.96
15	22	7.84
