processing 10: epoch 1, 10 / 13496, avg loss = 227.757, valid = 3.20%, unique = 1.95%, time 1m 33s
processing 20: epoch 1, 20 / 13496, avg loss = 119.275, valid = 4.14%, unique = 1.41%, time 3m 9s
processing 30: epoch 1, 30 / 13496, avg loss = 102.989, valid = 3.91%, unique = 1.41%, time 4m 42s
processing 40: epoch 1, 40 / 13496, avg loss = 93.551, valid = 2.73%, unique = 1.80%, time 6m 16s
processing 50: epoch 1, 50 / 13496, avg loss = 85.875, valid = 2.42%, unique = 1.56%, time 7m 51s
processing 60: epoch 1, 60 / 13496, avg loss = 80.089, valid = 1.88%, unique = 1.41%, time 9m 25s
processing 70: epoch 1, 70 / 13496, avg loss = 75.923, valid = 3.98%, unique = 2.58%, time 10m 60s
processing 80: epoch 1, 80 / 13496, avg loss = 73.323, valid = 2.89%, unique = 2.19%, time 12m 35s
processing 90: epoch 1, 90 / 13496, avg loss = 70.693, valid = 2.58%, unique = 1.80%, time 14m 8s
processing 100: epoch 1, 100 / 13496, avg loss = 67.250, valid = 2.73%, unique = 2.03%, time 15m 43s
processing 110: epoch 1, 110 / 13496, avg loss = 66.089, valid = 2.11%, unique = 1.48%, time 17m 17s
processing 120: epoch 1, 120 / 13496, avg loss = 62.118, valid = 1.72%, unique = 1.09%, time 18m 51s
processing 130: epoch 1, 130 / 13496, avg loss = 61.612, valid = 1.56%, unique = 1.41%, time 20m 26s
processing 140: epoch 1, 140 / 13496, avg loss = 59.228, valid = 1.56%, unique = 1.48%, time 22m 0s
processing 150: epoch 1, 150 / 13496, avg loss = 59.408, valid = 2.27%, unique = 2.11%, time 23m 35s
processing 160: epoch 1, 160 / 13496, avg loss = 58.109, valid = 1.64%, unique = 1.64%, time 25m 10s
processing 170: epoch 1, 170 / 13496, avg loss = 56.220, valid = 2.66%, unique = 2.42%, time 26m 44s
processing 180: epoch 1, 180 / 13496, avg loss = 55.322, valid = 3.20%, unique = 2.89%, time 28m 19s
processing 190: epoch 1, 190 / 13496, avg loss = 53.790, valid = 2.03%, unique = 2.03%, time 29m 55s
processing 200: epoch 1, 200 / 13496, avg loss = 53.250, valid = 2.73%, unique = 2.66%, time 31m 29s
processing 210: epoch 1, 210 / 13496, avg loss = 53.863, valid = 1.64%, unique = 1.64%, time 33m 3s
processing 220: epoch 1, 220 / 13496, avg loss = 52.208, valid = 2.34%, unique = 2.34%, time 34m 39s
processing 230: epoch 1, 230 / 13496, avg loss = 52.264, valid = 3.52%, unique = 3.52%, time 36m 14s
processing 240: epoch 1, 240 / 13496, avg loss = 50.447, valid = 4.69%, unique = 4.69%, time 37m 49s
processing 250: epoch 1, 250 / 13496, avg loss = 50.936, valid = 4.45%, unique = 4.45%, time 39m 23s
processing 260: epoch 1, 260 / 13496, avg loss = 50.855, valid = 5.86%, unique = 5.86%, time 40m 56s
processing 270: epoch 1, 270 / 13496, avg loss = 49.655, valid = 4.22%, unique = 4.14%, time 42m 31s
processing 280: epoch 1, 280 / 13496, avg loss = 49.081, valid = 4.84%, unique = 4.77%, time 44m 6s
processing 290: epoch 1, 290 / 13496, avg loss = 48.630, valid = 7.11%, unique = 7.11%, time 45m 40s
processing 300: epoch 1, 300 / 13496, avg loss = 48.202, valid = 5.70%, unique = 5.70%, time 47m 14s
processing 310: epoch 1, 310 / 13496, avg loss = 47.368, valid = 6.80%, unique = 6.80%, time 48m 48s
processing 320: epoch 1, 320 / 13496, avg loss = 46.991, valid = 6.41%, unique = 6.41%, time 50m 22s
processing 330: epoch 1, 330 / 13496, avg loss = 46.252, valid = 7.19%, unique = 7.19%, time 51m 57s
processing 340: epoch 1, 340 / 13496, avg loss = 46.617, valid = 11.25%, unique = 11.25%, time 53m 32s
processing 350: epoch 1, 350 / 13496, avg loss = 45.383, valid = 11.56%, unique = 11.56%, time 55m 4s
processing 360: epoch 1, 360 / 13496, avg loss = 45.892, valid = 11.02%, unique = 11.02%, time 56m 37s
processing 370: epoch 1, 370 / 13496, avg loss = 46.863, valid = 12.81%, unique = 12.81%, time 58m 9s
processing 380: epoch 1, 380 / 13496, avg loss = 45.379, valid = 13.12%, unique = 13.12%, time 59m 44s
processing 390: epoch 1, 390 / 13496, avg loss = 44.248, valid = 15.62%, unique = 15.55%, time 1h 1m 18s
processing 400: epoch 1, 400 / 13496, avg loss = 44.729, valid = 14.14%, unique = 14.14%, time 1h 2m 51s
processing 410: epoch 1, 410 / 13496, avg loss = 44.361, valid = 16.09%, unique = 16.02%, time 1h 4m 24s
processing 420: epoch 1, 420 / 13496, avg loss = 43.662, valid = 19.30%, unique = 19.30%, time 1h 5m 58s
processing 430: epoch 1, 430 / 13496, avg loss = 44.636, valid = 18.36%, unique = 18.28%, time 1h 7m 31s
processing 440: epoch 1, 440 / 13496, avg loss = 44.789, valid = 17.50%, unique = 17.50%, time 1h 9m 4s
processing 450: epoch 1, 450 / 13496, avg loss = 43.376, valid = 18.91%, unique = 18.91%, time 1h 10m 36s
processing 460: epoch 1, 460 / 13496, avg loss = 43.073, valid = 16.09%, unique = 16.09%, time 1h 12m 10s
