Pre-generation files: 

  S3a_checked_flatten.csv

Pre-generation compds: 1425

processing: epoch 1, unique 5132, added 5132, time 0m 46s
processing: epoch 2, unique 9723, added 4591, time 1m 33s
processing: epoch 3, unique 14170, added 4447, time 2m 20s
processing: epoch 4, unique 18472, added 4302, time 3m 7s
processing: epoch 5, unique 22623, added 4151, time 3m 55s
processing: epoch 6, unique 26694, added 4071, time 4m 40s
processing: epoch 7, unique 30603, added 3909, time 5m 25s
processing: epoch 8, unique 34520, added 3917, time 6m 14s
processing: epoch 9, unique 38316, added 3796, time 6m 60s
processing: epoch 10, unique 41987, added 3671, time 7m 43s
processing: epoch 11, unique 45703, added 3716, time 8m 33s
processing: epoch 12, unique 49416, added 3713, time 9m 23s
processing: epoch 13, unique 53027, added 3611, time 10m 7s
processing: epoch 14, unique 56651, added 3624, time 10m 51s
processing: epoch 15, unique 60283, added 3632, time 11m 38s
processing: epoch 16, unique 63821, added 3538, time 12m 25s
processing: epoch 17, unique 67398, added 3577, time 13m 11s
processing: epoch 18, unique 70925, added 3527, time 14m 4s
processing: epoch 19, unique 74412, added 3487, time 15m 4s
processing: epoch 20, unique 77820, added 3408, time 15m 59s
processing: epoch 21, unique 81259, added 3439, time 16m 52s
processing: epoch 22, unique 84621, added 3362, time 17m 46s
processing: epoch 23, unique 87983, added 3362, time 18m 37s
processing: epoch 24, unique 91406, added 3423, time 19m 27s
processing: epoch 25, unique 94764, added 3358, time 20m 20s
processing: epoch 26, unique 98059, added 3295, time 21m 13s
processing: epoch 27, unique 101419, added 3360, time 22m 8s
processing: epoch 28, unique 104878, added 3459, time 23m 2s
processing: epoch 29, unique 108239, added 3361, time 23m 57s
processing: epoch 30, unique 111568, added 3329, time 24m 54s
processing: epoch 31, unique 114741, added 3173, time 25m 49s
processing: epoch 32, unique 118074, added 3333, time 26m 47s
processing: epoch 33, unique 121279, added 3205, time 27m 46s
processing: epoch 34, unique 124496, added 3217, time 28m 43s
processing: epoch 35, unique 127661, added 3165, time 29m 43s
processing: epoch 36, unique 130961, added 3300, time 30m 43s
processing: epoch 37, unique 134148, added 3187, time 31m 41s
processing: epoch 38, unique 137412, added 3264, time 32m 45s
processing: epoch 39, unique 140601, added 3189, time 33m 47s
processing: epoch 40, unique 143854, added 3253, time 34m 50s
processing: epoch 41, unique 147086, added 3232, time 35m 53s
processing: epoch 42, unique 150235, added 3149, time 36m 58s
processing: epoch 43, unique 153371, added 3136, time 38m 8s
processing: epoch 44, unique 156564, added 3193, time 39m 16s
processing: epoch 45, unique 159773, added 3209, time 40m 22s
processing: epoch 46, unique 162836, added 3063, time 41m 30s
processing: epoch 47, unique 166050, added 3214, time 42m 37s
processing: epoch 48, unique 169225, added 3175, time 43m 44s
processing: epoch 49, unique 172275, added 3050, time 44m 52s
processing: epoch 50, unique 175400, added 3125, time 46m 0s
processing: epoch 51, unique 178474, added 3074, time 47m 10s
processing: epoch 52, unique 181541, added 3067, time 48m 21s
processing: epoch 53, unique 184650, added 3109, time 49m 33s
processing: epoch 54, unique 187763, added 3113, time 50m 45s
processing: epoch 55, unique 190871, added 3108, time 52m 0s
processing: epoch 56, unique 193900, added 3029, time 53m 17s
processing: epoch 57, unique 196921, added 3021, time 54m 30s
processing: epoch 58, unique 199874, added 2953, time 55m 43s
processing: epoch 59, unique 202894, added 3020, time 57m 11s
processing: epoch 60, unique 205983, added 3089, time 58m 45s
processing: epoch 61, unique 209039, added 3056, time 1h 0m 20s
processing: epoch 62, unique 212151, added 3112, time 1h 1m 55s
processing: epoch 63, unique 215160, added 3009, time 1h 3m 32s
processing: epoch 64, unique 218182, added 3022, time 1h 4m 52s
processing: epoch 65, unique 221108, added 2926, time 1h 6m 12s
processing: epoch 66, unique 224138, added 3030, time 1h 7m 33s
processing: epoch 67, unique 227135, added 2997, time 1h 8m 51s
processing: epoch 68, unique 230140, added 3005, time 1h 10m 9s
processing: epoch 69, unique 233149, added 3009, time 1h 11m 30s
processing: epoch 70, unique 236176, added 3027, time 1h 12m 50s
processing: epoch 71, unique 239170, added 2994, time 1h 14m 13s
processing: epoch 72, unique 242179, added 3009, time 1h 15m 38s
processing: epoch 73, unique 245157, added 2978, time 1h 17m 6s
processing: epoch 74, unique 248188, added 3031, time 1h 18m 29s
processing: epoch 75, unique 251141, added 2953, time 1h 19m 54s
processing: epoch 76, unique 254090, added 2949, time 1h 21m 19s
processing: epoch 77, unique 257042, added 2952, time 1h 22m 44s
processing: epoch 78, unique 260006, added 2964, time 1h 24m 9s
processing: epoch 79, unique 262935, added 2929, time 1h 25m 34s
processing: epoch 80, unique 265843, added 2908, time 1h 27m 5s
processing: epoch 81, unique 268813, added 2970, time 1h 28m 31s
processing: epoch 82, unique 271802, added 2989, time 1h 29m 59s
processing: epoch 83, unique 274728, added 2926, time 1h 31m 29s
processing: epoch 84, unique 277712, added 2984, time 1h 32m 59s
processing: epoch 85, unique 280643, added 2931, time 1h 34m 30s
processing: epoch 86, unique 283570, added 2927, time 1h 36m 1s
processing: epoch 87, unique 286498, added 2928, time 1h 37m 31s
processing: epoch 88, unique 289459, added 2961, time 1h 39m 3s
