Check SMILES for genmols_S1_init.csv:

RNN_0000260, CCOCC(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000272, NCC(O)c1ccc2ccccc2c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000374, CCc1ccccc1CC(C(=O)NCc1ccc(F)cc1)N(C)C(=O)c1ccc(Nc2nc3ccc(-c4ccc(C(=O)NCc5ccc(F)cc5)cc4)cn3n2)c(OCC(F)(F)F)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000394, CC(C(=O)N1CCN(c2ccc(-c3ccc4nc(Nc5ccc(C(=O)NCc6ccc(F)cc6)cc5)cn4n3)c(OC(F)(F)F)n2)CC1)c1ccccc1C(F)(F)F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000452, N#Cc1ccccc1F, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000695, CCNCCNS(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000728, Cn1nc(-c2ccccc2F)cn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000854, O=C(c1ccc(-c2ccc3nc(Nc4ccccc4)nn3c2)cc1)Nc1ccc(-c2ccc3nc(Nc4ccc(C(=O)NCC(F)(F)F)cc4OCC(F)(F)F)nn3c2)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000889, CCc1ccccc1S(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0000965, CC(=O)NCCNS(C)(=O)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001007, COCOc1cc(C)c(C#N)cc1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001036, COC1CN(C)CC1(C)OC, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001054, Cc1cc(C(=O)NC(C)(C)C)cn1C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001078, CC(C)(O)C=CC(C)(C)N1CCCC1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001339, CCc1cccc(CCCOC)c1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001475, NC(CCO)C(N)=O, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001488, N#CC(c1ccncc1)c1ccccn1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001652, CC(N)C(=O)NC(C)(C)CO, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0001849, COc1cc(C(=O)N(C)CCN(C)C)ccc1Nc1cc2nc(-c3ccc(NC(=O)Cc4ccc(F)cc4)cc3)cn2c(-c2ccc(C(=O)NC)cc2C)c1-c1ccc(F)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002022, C=CC(O)c1ccc(NC(C)=O)cc1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002076, CCOCCN1C(N)=NCC1(C)C, Failed because unsuitable MW, only MW in range [200, 800] will be remained
RNN_0002156, O=C(NC1CC1)c1ccc(=O)[nH]n1, Failed because unsuitable MW, only MW in range [200, 800] will be remained
